pollutant,exposure_quartile,event_code,outcome,time,cif,var
PM2.5,Q1,1,Successful extubation,0,0,0
PM2.5,Q1,1,Successful extubation,0.04166666666666666,0,0
PM2.5,Q1,1,Successful extubation,0.04166666666666666,0.0013085579691180318,3.4210618983232706e-7
PM2.5,Q1,1,Successful extubation,0.05277777777777778,0.0013085579691180318,3.4210618983232706e-7
PM2.5,Q1,1,Successful extubation,0.05277777777777778,0.0015703382176094828,4.104556369264402e-7
PM2.5,Q1,1,Successful extubation,0.08541666666666667,0.0015703382176094828,4.104556369264402e-7
PM2.5,Q1,1,Successful extubation,0.08541666666666667,0.0018321184661009339,4.787692003544527e-7
PM2.5,Q1,1,Successful extubation,0.0875,0.0018321184661009339,4.787692003544527e-7
PM2.5,Q1,1,Successful extubation,0.0875,0.0020938987145923847,5.470468801163648e-7
PM2.5,Q1,1,Successful extubation,0.08819444444444445,0.0020938987145923847,5.470468801163648e-7
PM2.5,Q1,1,Successful extubation,0.08819444444444445,0.0023556789630838357,6.152886762121766e-7
PM2.5,Q1,1,Successful extubation,0.08888888888888889,0.0023556789630838357,6.152886762121766e-7
PM2.5,Q1,1,Successful extubation,0.08888888888888889,0.0026174592115752867,6.834945886418888e-7
PM2.5,Q1,1,Successful extubation,0.10069444444444443,0.0026174592115752867,6.834945886418888e-7
PM2.5,Q1,1,Successful extubation,0.10069444444444443,0.0028792394600667378,7.516646174055016e-7
PM2.5,Q1,1,Successful extubation,0.12569444444444444,0.0028792394600667378,7.516646174055016e-7
PM2.5,Q1,1,Successful extubation,0.12569444444444444,0.003141088525658213,8.198346981338125e-7
PM2.5,Q1,1,Successful extubation,0.12916666666666668,0.003141088525658213,8.198346981338125e-7
PM2.5,Q1,1,Successful extubation,0.12916666666666668,0.003402937591249688,8.879688668506978e-7
PM2.5,Q1,1,Successful extubation,0.1361111111111111,0.003402937591249688,8.879688668506978e-7
PM2.5,Q1,1,Successful extubation,0.1361111111111111,0.0036647866568411632,9.560671235561577e-7
PM2.5,Q1,1,Successful extubation,0.15138888888888888,0.0036647866568411632,9.560671235561577e-7
PM2.5,Q1,1,Successful extubation,0.15138888888888888,0.003926635722432638,1.0241294682501928e-6
PM2.5,Q1,1,Successful extubation,0.15347222222222223,0.003926635722432638,1.0241294682501928e-6
PM2.5,Q1,1,Successful extubation,0.15347222222222223,0.004188484788024113,1.0921559009328029e-6
