site,outcome,model,term,n,events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set
UCMC,In-hospital mortality after ARF onset,PM25 single-pollutant,pm25_per_5,13380,3976,1.2915176390420866,1.0250055292705913,1.627325672227184,0.030051555875942448,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,In-hospital mortality after ARF onset,NO2 single-pollutant,no2_per_10,13380,3976,1.1676944074765767,0.962388747820644,1.4167977673676884,0.11609326120269027,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,In-hospital mortality after ARF onset,PM25 + NO2,pm25_per_5,13380,3976,1.2427395769376481,0.969162167358395,1.5935430706056923,0.08670297222572088,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,In-hospital mortality after ARF onset,PM25 + NO2,no2_per_10,13380,3976,1.0923827467209155,0.8873998238592721,1.3447152379903684,0.40465440469822583,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
