site,outcome,model,term,n,mean_vfd,ratio_of_means,conf_low,conf_high,p_value,dispersion,adjustment_set
UCMC,Ventilator-free days through day 28,PM25 single-pollutant,pm25_per_5,13380,19.799043732353425,0.904635766928016,0.8450110395736569,0.9684676678524095,0.0039700067431355105,6.5978572293928615,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Ventilator-free days through day 28,NO2 single-pollutant,no2_per_10,13380,19.799043732353425,0.9361980819770718,0.8853534935185171,0.989962602637222,0.020677603111694403,6.598073205122243,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Ventilator-free days through day 28,PM25 + NO2,pm25_per_5,13380,19.799043732353425,0.9225236823571493,0.8558829113513565,0.9943532383022683,0.035047192509222114,6.598262580273933,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Ventilator-free days through day 28,PM25 + NO2,no2_per_10,13380,19.799043732353425,0.9623097705023754,0.9049819083774975,1.0232691790099886,0.22023076006265124,6.598262580273933,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
